Es/N0,Eb/N0,FRA,BE,FE,BER,FER,SIM_THR,ET/RT
-3.17,0.00,308,28112,308,1.59e-01,1.00e+00,0.166,00h00'01
-2.92,0.25,309,26427,309,1.49e-01,1.00e+00,0.188,00h00'00
-2.67,0.50,307,24921,307,1.42e-01,1.00e+00,0.186,00h00'00
-2.42,0.75,312,23361,312,1.31e-01,1.00e+00,0.182,00h00'00
-2.17,1.00,312,21322,310,1.19e-01,9.94e-01,0.189,00h00'00
-1.92,1.25,316,19348,308,1.07e-01,9.75e-01,0.186,00h00'00
-1.67,1.50,367,17696,307,8.42e-02,8.37e-01,0.204,00h00'01
-1.42,1.75,515,16312,307,5.53e-02,5.96e-01,0.247,00h00'01
-1.17,2.00,1202,15974,308,2.32e-02,2.56e-01,0.400,00h00'01
-0.92,2.25,3570,14411,303,7.04e-03,8.49e-02,0.653,00h00'03
-0.67,2.50,19950,13774,302,1.20e-03,1.51e-02,1.022,00h00'11
-0.42,2.75,128856,13206,300,1.79e-04,2.33e-03,1.126,00h01'05
-0.17,3.00,504910,4627,106,1.60e-05,2.10e-04,1.333,00h03'37

