Es/N0,Eb/N0,FRA,BE,FE,BER,FER,SIM_THR,ET/RT
-3.01,0.00,114,14466,114,1.31e-01,1.00e+00,0.218,00h00'00
-2.76,0.25,107,11746,107,1.13e-01,1.00e+00,0.242,00h00'00
-2.51,0.50,131,10034,110,7.88e-02,8.40e-01,0.253,00h00'00
-2.26,0.75,183,8411,106,4.73e-02,5.79e-01,0.296,00h00'00
-2.01,1.00,539,6832,104,1.30e-02,1.93e-01,0.422,00h00'01
-1.76,1.25,2179,5949,100,2.81e-03,4.59e-02,0.589,00h00'03
-1.51,1.50,17978,5118,100,2.93e-04,5.56e-03,0.735,00h00'23
-1.26,1.75,297955,3396,100,1.17e-05,3.36e-04,0.764,00h06'18
